strategy,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_low_spy_weight,steep_low_ief_weight,inverted_stress_cash_weight
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2022_RATE_WAR,0.2046099313492955,-0.09156097182008838,1.2685570737005165,0.31572371747296607,0.3113525953848467,0.02292368714218726,0.042134831460674156,0.30786516853932583,215,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2011_EURO_DEBT,0.01980716414950079,-0.06373349289947083,0.33966379794520996,0.4973154362416107,0.0,0.0,0.5026845637583894,0.0,107,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2015_2016,0.030928470670153585,-0.05610098320885426,0.4200088404676613,0.33402447145438746,0.06321434692362088,0.037393216254026224,0.5142857142857143,0.051082251082251076,136,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2022_RATE_WAR,0.20188062872338586,-0.08010994990761455,1.3222123846232134,0.3042002555407339,0.291134484283371,0.02292368714218726,0.042134831460674156,0.33960674157303367,215,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.3,0.7,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2011_EURO_DEBT,0.010915444943052854,-0.07947775008359248,0.16198709907042755,0.5691275167785236,0.0,0.0,0.43087248322147653,0.0,107,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2015_2016,0.0368775164358468,-0.05610098320885426,0.49964916604153947,0.34181667924659526,0.06321434692362088,0.037393216254026224,0.5064935064935066,0.051082251082251076,136,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2011_EURO_DEBT,0.010915444943052854,-0.07947775008359248,0.16198709907042755,0.5691275167785236,0.0,0.0,0.43087248322147653,0.0,107,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2015_2016,0.0368775164358468,-0.05610098320885426,0.49964916604153947,0.34181667924659526,0.06321434692362088,0.037393216254026224,0.5064935064935066,0.051082251082251076,136,0.4,0.6,0.1
