strategy,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,annualized_vol,turnover,transaction_cost_drag,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_low_spy_weight,steep_low_ief_weight,inverted_stress_cash_weight,Sharpe_rank,MaxDD_rank,Final_Equity_rank,composite_score
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,0.19588105424714586,1.6684057495677265,2.1223646934981044,-0.11579661539841113,1.691595678968641,36.66413344373467,0.11740612515744292,122.6701143308179,0.06133505716540894,0.4729875235693074,0.17472636444653922,0.12059513839329809,0.1589869925108396,0.07270398108001576,1484,0.4,0.6,0.0,11.0,9.0,12.0,10.749999999999998
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,0.19668296063180524,1.6734413455003467,2.1414980884690187,-0.1157966153984118,1.698520806977773,37.16234708600312,0.11753203132016465,125.96882078944672,0.06298441039472337,0.4820494133252387,0.16893605529762404,0.12059513839329809,0.1455459203783997,0.0828734726054395,1484,0.6,0.4,0.3,9.0,16.0,9.0,11.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,0.19559730834472133,1.6774975791256193,2.135677562549933,-0.11579661539841135,1.6891452973106915,36.48937129395166,0.11660065014619854,124.0363498170275,0.062018174908513746,0.4715277961104712,0.17279626139690077,0.12059513839329809,0.1589869925108396,0.07609381158849035,1484,0.4,0.6,0.1,7.0,14.0,14.0,11.55
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,0.19675491935470335,1.662696488288299,2.1234924939533433,-0.11579661539841124,1.6991422303471133,37.20736727039883,0.11833483786163354,122.2701143308179,0.06113505716540894,0.4797080596355273,0.17472636444653922,0.12059513839329809,0.15226645644461967,0.07270398108001576,1484,0.5,0.5,0.0,14.0,13.0,8.0,11.599999999999998
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,0.19466586674116937,1.677008642842276,2.125135268425105,-0.11579661539841113,1.681101525043714,35.92123422981486,0.1160792268853428,124.4363498170275,0.062218174908513744,0.46480726004425127,0.17279626139690077,0.12059513839329809,0.16570752857705956,0.07609381158849035,1484,0.3,0.7,0.1,8.0,9.0,18.0,11.8
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,0.19774791949453885,1.6492323086646024,2.1079926248028897,-0.12832475351193284,1.5409959036169152,37.833943941791006,0.11990301090733364,124.20258530323711,0.06210129265161855,0.4902296768502948,0.17086615834726243,0.12059513839329809,0.13882538431217975,0.07948364209696492,1484,0.7,0.30000000000000004,0.2,18.0,17.0,3.0,12.45
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,0.1980440442468978,1.6420995464950523,2.098852252188394,-0.12832475351193295,1.5433035234973713,38.02272935165462,0.12060416475335439,122.8363498170275,0.06141817490851374,0.49168940430913105,0.17279626139690077,0.12059513839329809,0.13882538431217975,0.07609381158849035,1484,0.7,0.30000000000000004,0.1,19.0,18.0,2.0,12.749999999999998
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,0.19832837082249832,1.6339050044170362,2.087130608462183,-0.12832475351193295,1.5455192033862408,38.20483536462422,0.12138304876130804,121.47011433081789,0.060735057165408946,0.4931491317679672,0.17472636444653922,0.12059513839329809,0.13882538431217975,0.07270398108001576,1484,0.7,0.30000000000000004,0.0,20.0,18.0,1.0,12.749999999999998
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,0.19494939158861424,1.6678263266985094,2.111782761185182,-0.11579661539841113,1.6835499977082162,36.09327534464486,0.11688830453619226,123.0701143308179,0.06153505716540894,0.4662669875030875,0.17472636444653922,0.12059513839329809,0.16570752857705956,0.07270398108001576,1484,0.3,0.7,0.0,12.0,9.0,17.0,12.849999999999998
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,0.19744000505529868,1.6552516715521641,2.114425413821027,-0.1283247535119333,1.5385964099041747,37.63858723229887,0.11928095796463088,125.56882078944672,0.06278441039472336,0.48876994939145857,0.16893605529762404,0.12059513839329809,0.13882538431217975,0.0828734726054395,1484,0.7,0.30000000000000004,0.3,16.0,20.0,5.0,13.35
