strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_stress,time_in_credit_stress,time_in_vix_stress,time_in_cmdty_stress,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
SPY_NORMAL_REGIME_HEDGE_STRESS,2025_PULLBACK,0.20598167727735328,-0.174037174777253,1.191799601509192,49,0,45,0,0.8567251461988304,0.0,0.12894736842105264,0.01432748538011696,0.0
SPY_NORMAL_REGIME_HEDGE_STRESS,FULL_SAMPLE,15.55315914713059,-0.2713257013430169,1.0843814916553636,1029,273,296,526,0.7995783313517211,0.07793447905427027,0.11955065037445803,0.0029365392195506504,0.0
FINAL_WITH_CREDIT_STRESS_CASH,2008_GFC,0.5053407886945827,-0.12477108731061348,1.544325984012132,251,104,35,145,0.18999930103891297,0.14977957250676505,0.2333333333333333,0.23582766439909297,0.19106012872189568
FINAL_WITH_CREDIT_STRESS_CASH,2015_2016,0.14278519977571968,-0.0635777958270134,1.563107077914562,125,0,17,123,0.3821753092975958,0.16233766233766234,0.3787878787878788,0.0,0.07669914957686302
FINAL_WITH_CREDIT_STRESS_CASH,2018Q4,0.014172001596257866,-0.05063560885196805,0.49797682792798365,51,30,27,0,0.07662047114000317,0.16027361696096995,0.21428571428571427,0.38095238095238093,0.16786781666093165
FINAL_WITH_CREDIT_STRESS_CASH,COVID_2020,0.1757006250452573,-0.09588702686479134,2.1887935492346515,42,27,29,0,0.3126256810181441,0.14423076923076922,0.0,0.25961538461538464,0.2835281651357021
FINAL_WITH_CREDIT_STRESS_CASH,2022_RATE_WAR,0.028987364240328217,-0.1580825713611177,0.14637398121396214,91,75,12,0,0.386373174908412,0.3004241204182285,0.027528089887640446,0.21067415730337077,0.07500045748234827
FINAL_WITH_CREDIT_STRESS_CASH,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,49,0,45,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
FINAL_WITH_CREDIT_STRESS_CASH,FULL_SAMPLE,32.11406952169617,-0.15808257136111636,1.4510610892147224,1029,273,296,526,0.5051253858723693,0.17673025575794274,0.09990145841545132,0.05553803705163579,0.1627048629026009
FINAL_WITH_NON_CREDIT_STRESS_CASH,2008_GFC,0.3888218747285641,-0.11553937287957361,1.3258138780269104,251,104,35,145,0.18999930103891297,0.09331698747275147,0.18321995464852608,0.3424036281179138,0.19106012872189568
FINAL_WITH_NON_CREDIT_STRESS_CASH,2015_2016,0.020108644140771847,-0.0635777958270135,0.262576830786775,125,0,17,123,0.3821753092975958,0.0,0.0,0.5411255411255411,0.07669914957686302
FINAL_WITH_NON_CREDIT_STRESS_CASH,2018Q4,0.07235255983698718,-0.049896256810388895,2.3625149430953374,51,30,27,0,0.07662047114000317,0.43408314077049376,0.0642857142857143,0.2571428571428571,0.16786781666093165
FINAL_WITH_NON_CREDIT_STRESS_CASH,COVID_2020,0.31234955897817684,-0.10774268008378451,3.8690687704036026,42,27,29,0,0.3126256810181441,0.25961538461538464,0.0,0.14423076923076922,0.2835281651357021
FINAL_WITH_NON_CREDIT_STRESS_CASH,2022_RATE_WAR,0.07873880331367,-0.14117579060493013,0.3502325186289671,91,75,12,0,0.4016657088027088,0.4362551820295497,0.037921348314606744,0.04915730337078652,0.07500045748234827
FINAL_WITH_NON_CREDIT_STRESS_CASH,2025_PULLBACK,0.5237906693955108,-0.08797658983502676,2.3204709490524706,49,0,45,0,0.0,0.3878127027644576,0.0,0.14327485380116958,0.4689124434343727
FINAL_WITH_NON_CREDIT_STRESS_CASH,FULL_SAMPLE,28.11726794517826,-0.18783440940318152,1.4134672353308888,1029,273,296,526,0.5050301094319891,0.1624187525373059,0.0196491919590067,0.15019708316909736,0.1627048629026009
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,2008_GFC,-0.12864806926348327,-0.5342946775020501,-0.2341215350001095,251,104,35,145,0.44139820025184967,0.09700868823404642,0.0,0.0,0.461593111514104
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,2015_2016,-0.05076472461027215,-0.19572847759577938,-0.31614334447381837,125,0,17,123,0.7298197696994161,0.0,0.0,0.0,0.27018023030058397
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,2018Q4,-0.039297333932339695,-0.16149711519966892,-0.74327739975668,51,30,27,0,0.23325591033793008,0.3440294699531674,0.0,0.0,0.42271461970890234
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,COVID_2020,-0.09107214504399663,-0.3421054771431279,-0.4702644348662848,42,27,29,0,0.5170356153134453,0.0,0.0,0.0,0.4829643846865548
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,2022_RATE_WAR,0.12805421498172276,-0.1758271542060389,0.5327123709006963,91,75,12,0,0.510452944603314,0.3442073484862134,0.0,0.0,0.14533970691047265
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,2025_PULLBACK,0.6210413639213188,-0.08797658983502687,2.385523113775704,49,0,45,0,0.0,0.4479579983463824,0.0,0.0,0.5520420016536176
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,FULL_SAMPLE,16.785103542056216,-0.5342946775020497,0.8649317761886126,1029,273,296,526,0.6265222558621849,0.14919246471556408,0.0,0.0,0.22428527942225113
