date,macro_regime,active_trigger,SPY_return,CASH_return,final_state,CURRENT_FINAL_return,CURRENT_FINAL_NAV,CURRENT_FINAL_drawdown,SPY_CASH_TRIGGER_LOCK_return,SPY_CASH_TRIGGER_LOCK_NAV,SPY_CASH_TRIGGER_LOCK_drawdown,REGIME_NORMAL_CASH_STRESS_return,REGIME_NORMAL_CASH_STRESS_NAV,REGIME_NORMAL_CASH_STRESS_drawdown,FINAL_WITH_CREDIT_STRESS_CASH_return,FINAL_WITH_CREDIT_STRESS_CASH_NAV,FINAL_WITH_CREDIT_STRESS_CASH_drawdown,weights_CURRENT_FINAL,weights_CASH_STRESS_variant
2025-01-02,FLAT_HIGH_RATE,,-0.0024570437313847,0.000164036720381,NORMAL,0.012478652373795,27.753824816322844,-0.0202607141356023,-0.0024570437313847,7.933025103630693,-0.03488302561198009,0.012478652373795024,16.062259358147077,-0.020260714135601265,0.012478652373795024,22.630712993684686,-0.02026071413560082,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-13,FLAT_HIGH_RATE,,0.0105576718791546,0.000164036720381,NORMAL,0.0062713105314082,29.41539678859711,0.0,0.0105576718791546,8.401746152278234,-3.290242663445131e-05,0.006271310531408233,17.02387816699683,0.0,0.006271310531408233,23.985573401997634,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-14,FLAT_HIGH_RATE,,-4.925370981989641e-05,0.000164036720381,NORMAL,-0.0083458644675233,29.16989987374106,-0.0083458644675232,-4.925370981989641e-05,8.401332335111269,-8.215451588777789e-05,-0.008345864467523308,16.881799187103447,-0.008345864467523278,-0.008345864467523308,23.78539305720873,-0.008345864467523278,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-18,FLAT_HIGH_RATE,,0.0029357672567349,0.000164417522076,NORMAL,0.0140374222231407,29.579370074475506,0.0,0.0029357672567349,8.425996691493637,0.0,0.014037422223140791,17.118776130179093,0.0,0.014037422223140791,24.11927866229613,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-19,FLAT_HIGH_RATE,,0.0023550448002287,0.000164036720381,NORMAL,0.002780396552845,29.6616124530659,0.0,0.0023550448002287,8.445840291188684,0.0,0.0027803965528450884,17.16637311632037,0.0,0.0027803965528450884,24.186339821545886,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-20,FLAT_HIGH_RATE,,-0.0041603640414509,0.000163655882291,NORMAL,0.0005980330788864,29.67935107848594,0.0,-0.0041603640414509,8.410702520941385,-0.004160364041451037,0.0005980330788864645,17.176639175288436,0.0,0.0005980330788864645,24.20080405281636,0.0,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-21,FLAT_HIGH_RATE,,-0.0171040827814761,0.000163655882291,NORMAL,-0.0078673281984965,29.445853882833088,-0.0078673281984965,-0.0171040827814761,8.266845168772834,-0.021193287611961042,-0.007867328198496556,17.04150491754929,-0.007867328198496448,-0.007867328198496556,24.010408384665347,-0.00786732819849656,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-24,FLAT_HIGH_RATE,,-0.0045503767829224,0.000162894096898,NORMAL,0.0010402600871454,29.47648522935932,-0.0068352521788683,-0.0045503767829224,8.229227908448836,-0.025647226950980095,0.0010402600871454635,17.05923251493991,-0.006835252178868267,0.0010402600871454635,24.035385454183977,-0.0068352521788684895,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-25,FLAT_HIGH_RATE,,-0.004973156463911,0.000162894096898,NORMAL,-0.0127583926940797,29.10041265556191,-0.0195064380414871,-0.004973156463911,8.188302670482937,-0.030492835742398472,-0.012758392694079723,16.841584127454695,-0.019506438041486884,-0.012758392694079723,23.728732568005928,-0.019506438041487106,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-26,FLAT_HIGH_RATE,,0.0005046465936875,0.0001632750077988,NORMAL,-0.0009193689646145,29.07365863930891,-0.0204078733923561,0.0005046465936875,8.19243486953368,-0.03000357725440017,-0.0009193689646145363,16.82610049769297,-0.020407873392355835,-0.0009193689646145363,23.706917107713267,-0.020407873392356057,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-27,FLAT_HIGH_RATE,,-0.0159619307415448,0.0001632750077988,NORMAL,-0.0058504478648441,28.90356471519936,-0.0261389260578859,-0.0159619307415448,8.061667791541566,-0.045486592973811524,-0.005850447864844146,16.727660273962588,-0.026138926057885703,-0.005850447864844146,23.56822102513841,-0.026138926057885814,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
2025-02-28,FLAT_HIGH_RATE,,0.0156056101368307,0.0001632750077988,NORMAL,-0.0088181960753764,28.6486874142634,-0.0347266239580841,0.0156056101368307,8.187475036149008,-0.030590828873382936,-0.008818196075376403,16.580152485784502,-0.0347266239580839,-0.008818196075376403,23.36039183099093,-0.03472662395808401,GOLD:54%; CMDTY_FUT:46%,GOLD:54%; CMDTY_FUT:46%
