strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_unlocks,false_recovery_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY
CREDIT_UNLOCK_MA20_MA50,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_MA20_MA50,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_UNLOCK_MA20_MA50,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,77,2,2,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
CREDIT_UNLOCK_MA20_MA50,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_LEVEL_CONFIRM,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_LEVEL_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_LEVEL_CONFIRM,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_LEVEL_CONFIRM,COVID_2020,0.08025443779887231,-0.15469690070036735,0.8946955629216099,74,1,2,0.08997478653852732,0.8461538461538461,0.0,0.0,0.06387136730762652
CREDIT_UNLOCK_LEVEL_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,222,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_LEVEL_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_ZSCORE_CONFIRM,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_ZSCORE_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_ZSCORE_CONFIRM,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_ZSCORE_CONFIRM,COVID_2020,0.044014891006654455,-0.15469690070036735,0.4394114422359785,55,2,2,0.1836556825448488,0.6634615384615384,0.0,0.0,0.15288277899361274
CREDIT_UNLOCK_ZSCORE_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,217,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_ZSCORE_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_COOLDOWN_10D,2008_GFC,0.525553612271753,-0.15463506917537462,1.5516056770107953,115,1,1,0.17754814251090187,0.2001197085611868,0.43242630385487524,0.009070294784580499,0.1808355502884555
CREDIT_UNLOCK_COOLDOWN_10D,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_COOLDOWN_10D,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_COOLDOWN_10D,COVID_2020,0.16741606259848107,-0.15469690070036735,1.7496920078319482,38,2,1,0.266187111049178,0.5,0.0,0.0,0.23381288895082195
CREDIT_UNLOCK_COOLDOWN_10D,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,121,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_COOLDOWN_10D,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_COOLDOWN_21D,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
