date,spy_price,SPY_return,CASH_return,macro_regime_confirmed,final_regime_confirmed,VIX_LEVEL,VIX_ZSCORE_120D,CMDTY_RET60,WBAA,WAAA,CREDIT_SPREAD,D_CREDIT_15D,D_CREDIT_20D,D_CREDIT_60D,CREDIT_LEVEL_Z_252D,CREDIT_LEVEL_Z_504D,D_CREDIT_15D_Z_252D,D_CREDIT_20D_Z_252D,D_CREDIT_60D_Z_252D,CREDIT_PERCENTILE_252D,CREDIT_PERCENTILE_504D,CREDIT_SPREAD_MA20,CREDIT_SPREAD_MA60,CREDIT_ABOVE_MA20,CREDIT_ABOVE_MA60,SPY_MA20,SPY_MA50,SPY_MA100,SPY_DD
2014-04-23,152.9318389892578,-0.002341613358066,7.935717540874521e-07,STEEP,STEEP_LOW_RATE,13.27,-0.6272371820849949,0.064213525607816,4.92,4.24,0.6799999999999997,0.009999999999999787,-0.010000000000000675,0.009999999999999787,-1.165729732113743,-1.2076260002756356,0.3501090400729776,0.08595854250344559,0.7788241285825757,0.13293650793650794,0.06646825396825397,0.6859999999999999,0.6728333333333332,False,True,151.64484100341798,151.16262939453125,148.95194412231444,-0.007571144158601
2014-04-24,153.2418670654297,0.0020272304199104,3.968056356828953e-07,STEEP,STEEP_LOW_RATE,13.32,-0.5951769080320056,0.0593837144232707,4.92,4.24,0.6799999999999997,0.009999999999999787,-0.010000000000000675,0.009999999999999787,-1.1564107250384759,-1.2027053595593724,0.3458994030734688,0.083212686129504,0.7736205214678032,0.1349206349206349,0.06746031746031746,0.6854999999999999,0.6729999999999998,False,True,151.76150665283205,151.27113220214844,149.02112487792968,-0.0055592621924424
2014-04-25,151.98545837402344,-0.0081988605037669,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,14.06,-0.1542849312628206,0.0486443381180239,4.86,4.22,0.6400000000000006,-0.02999999999999936,-0.04999999999999982,-0.02999999999999936,-1.5417404980262919,-1.3595506664010608,-0.3155163307194484,-0.48424706431163744,0.3217596379795407,0.03968253968253968,0.01984126984126984,0.6829999999999999,0.6724999999999998,False,False,151.83125991821288,151.35304504394531,149.0787110900879,-0.0137125430809895
2014-04-28,152.46678161621094,0.0031669032507242,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.97,-0.2118683675720853,0.0434609250398738,4.86,4.22,0.6400000000000006,-0.0699999999999994,-0.02999999999999936,-0.02999999999999936,-1.5274295657207597,-1.3537409385940289,-0.9730070667543914,-0.20459545252341735,0.3179865467322631,0.041666666666666664,0.020833333333333332,0.6815,0.6719999999999998,False,False,151.88796157836913,151.42931304931642,149.14490753173828,-0.0105890661275243
2014-04-29,153.17657470703125,0.0046553949870011,7.935717540874521e-07,STEEP,STEEP_LOW_RATE,13.71,-0.3724015752385469,0.0610502982591918,4.86,4.22,0.6400000000000006,-0.0699999999999994,-0.02999999999999936,-0.009999999999998899,-1.5133586024320116,-1.347971303171077,-0.9706705545809933,-0.20842518398267196,0.5380629133999228,0.04365079365079365,0.021825396825396824,0.6799999999999999,0.6718333333333332,False,False,151.91814727783202,151.50336853027343,149.2245036315918,-0.0059829674258902
2014-04-30,153.63348388671875,0.0029828920026537,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.41,-0.5534806993813656,0.0535137812143569,4.86,4.22,0.6400000000000006,-0.0699999999999994,-0.02999999999999936,-0.009999999999998899,-1.499519887540663,-1.3422411988924106,-0.9683417231425411,-0.2122748973274314,0.5336642915599359,0.04563492063492063,0.022817460317460316,0.6785,0.6716666666666665,False,False,151.92059478759765,151.58298889160156,149.30883010864258,-0.0030179219689232
2014-05-01,153.6497802734375,0.0001060731443853,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.25,-0.6540848947685572,0.0417335473515261,4.86,4.22,0.6400000000000006,-0.0699999999999994,-0.02999999999999936,-0.009999999999998899,-1.485906037047952,-1.3365015193744105,-0.9660205197949835,-0.2161449342151151,0.5292752220145638,0.047619047619047616,0.023809523809523808,0.677,0.6714999999999999,False,False,151.89815673828124,151.68275482177734,149.39970153808594,-0.0029121689450105
2014-05-02,153.42947387695312,-0.0014338217476934,7.935717540874521e-07,STEEP,STEEP_LOW_RATE,12.91,-0.8514242432975718,0.0441058540497205,4.81,4.19,0.6199999999999992,-0.09000000000000075,-0.05000000000000071,-0.03000000000000025,-1.6648018248039782,-1.411260559918101,-1.2886880602230517,-0.5052473581943006,0.30094431336340444,0.003968253968253968,0.001984126984126984,0.6745,0.6709999999999998,False,False,151.8749038696289,151.76057006835939,149.47221267700195,-0.0043418151615377
2014-05-05,153.72329711914062,0.001915037800515,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.29,-0.6260958957520432,0.0372204277842964,4.81,4.19,0.6199999999999992,-0.0600000000000005,-0.09000000000000075,-0.03000000000000025,-1.6481370911444722,-1.4050608486816254,-0.795183132848861,-1.0739169566121636,0.29753335314822327,0.005952380952380952,0.002976190476190476,0.6699999999999999,0.6705,False,False,151.9573081970215,151.8476724243164,149.54394592285155,-0.0024350921011798
2014-05-06,152.38522338867188,-0.0087044303338855,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.8,-0.3272351757587234,0.022691498531445,4.81,4.19,0.6199999999999992,-0.0600000000000005,-0.09000000000000075,-0.020000000000000462,-1.6317921691911703,-1.3989066648207102,-0.7932313315954307,-1.069731744625664,0.40625439895371823,0.007936507936507936,0.003968253968253968,0.6655,0.6701666666666666,False,False,152.0568420410156,151.89144317626952,149.60754943847655,-0.0111183263455141
2014-05-07,153.28260803222656,0.0058889216657564,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.4,-0.5730651088785471,0.0295185670197823,4.81,4.19,0.6199999999999992,-0.0600000000000005,-0.09000000000000075,-0.020000000000000462,-1.615755591144711,-1.3927973386579506,-0.7912846064511925,-1.06557033490056,0.40176607737862813,0.00992063492063492,0.00496031746031746,0.6609999999999998,0.6698333333333332,False,False,152.1702423095703,151.95429931640626,149.6965266418457,-0.0052948796326607
2014-05-08,153.1195068359375,-0.0010640554618875,1.190298363207276e-06,STEEP,STEEP_LOW_RATE,13.43,-0.5616623356049677,0.0229505227157476,4.81,4.19,0.6199999999999992,-0.0600000000000005,-0.09000000000000075,-0.020000000000000462,-1.6000164497180156,-1.3867322138405442,-0.7893429265868732,-1.0614324502635166,0.3972783097515601,0.011904761904761904,0.005952380952380952,0.6564999999999999,0.6694999999999998,False,False,152.19430847167968,152.01372955322265,149.7886393737793,-0.0063533010489551
