strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CW15_ABS10_ZW126_UZ1P0,2008_GFC,0.5401171097337978,-0.12389705845112686,1.6005117210611643,105,1,1,1,1,0.5545065097174294,0.33705543852580705,0.7357142857142857,0.1,0.44402714449248115
CW15_ABS10_ZW126_UZ1P0,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW126_UZ1P0,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW126_UZ1P0,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW126_UZ1P0,COVID_2020,0.1901155299673074,-0.15383533620823908,2.019851298250896,42,2,2,1,1,0.5312940383184089,1.0,,,0.46870596168159107
CW15_ABS10_ZW126_UZ1P0,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,118,1,1,1,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS10_ZW126_UZ1P0,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW126_UZ1P5,2008_GFC,0.5418245123967824,-0.12389705845112697,1.605201464830845,104,1,1,1,1,0.554411623834691,0.3372098361863312,0.7358565737051792,0.1,0.44411276840562475
CW15_ABS10_ZW126_UZ1P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW126_UZ1P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW126_UZ1P5,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW126_UZ1P5,COVID_2020,0.16574678774842466,-0.15383533620823908,1.4843639249045264,29,2,2,1,1,0.5190450070381222,1.0,,,0.48095499296187777
CW15_ABS10_ZW126_UZ1P5,2022_RATE_WAR,0.014785145747323147,-0.20298786529947555,0.07225907499940903,103,2,2,2,1,0.4897528311024744,0.718890138504671,0.7444444444444444,0.1,0.36547813489589204
CW15_ABS10_ZW126_UZ1P5,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW252_UZ0P5,2008_GFC,0.5697317364940935,-0.10238566543315386,1.7240687010208935,242,1,1,1,1,0.5337118878049483,0.3279073771397484,0.7271903323262839,0.1,0.4573412349282221
CW15_ABS10_ZW252_UZ0P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW252_UZ0P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW252_UZ0P5,2018Q4,0.08482791908254028,-0.043022277196462455,2.9042615976490693,59,2,2,1,2,0.4950861212123282,0.8882957661381131,0.8999999999999999,0.1,0.4553708091045991
CW15_ABS10_ZW252_UZ0P5,COVID_2020,0.030182479693404485,-0.15383533620823908,0.29757960572067177,65,2,2,2,2,0.5499700780475236,1.0,,,0.4500299219524762
CW15_ABS10_ZW252_UZ0P5,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,231,1,1,0,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS10_ZW252_UZ0P5,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW252_UZ1P0,2008_GFC,0.5697317364940935,-0.10238566543315386,1.7240687010208935,242,1,1,1,1,0.5337118878049483,0.3279073771397484,0.7271903323262839,0.1,0.4573412349282221
CW15_ABS10_ZW252_UZ1P0,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS10_ZW252_UZ1P0,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS10_ZW252_UZ1P0,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
CW15_ABS10_ZW252_UZ1P0,COVID_2020,0.10112286366197765,-0.15383533620823908,1.054343965817744,56,2,2,2,2,0.5411237107159279,1.0,,,0.458876289284072
CW15_ABS10_ZW252_UZ1P0,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,225,1,1,0,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS10_ZW252_UZ1P0,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS10_ZW252_UZ1P5,2008_GFC,0.5026811334024373,-0.14072698266411265,1.49753414363099,110,1,1,1,1,0.5549999163076692,0.33630227920617684,0.7350194552529182,0.1,0.443585064506142
