strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CW15_ABS05_ZW126_UZ0P5,2025_PULLBACK,0.51371867983613,-0.08797658983502676,2.34676493025733,54,4,4,2,2,,0.44954859695193783,0.9,0.1,0.5504514030480621
CW15_ABS05_ZW126_UZ1P0,2008_GFC,0.6208506405380383,-0.12389705845112753,1.8509328504946618,111,1,1,1,1,0.5545065097174294,0.3312486967480971,0.7395348837209302,0.09999999999999999,0.44430626916937493
CW15_ABS05_ZW126_UZ1P0,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW126_UZ1P0,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW126_UZ1P0,2018Q4,0.09533271870402582,-0.04569042248481847,3.704550780779263,50,3,2,2,2,0.49508612121232815,0.8999945323820354,0.9000000000000001,0.09999999999999999,0.3946877551265817
CW15_ABS05_ZW126_UZ1P0,COVID_2020,0.1901155299673074,-0.15383533620823908,2.019851298250896,44,3,2,2,1,0.5312940383184089,1.0,,,0.46870596168159107
CW15_ABS05_ZW126_UZ1P0,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,118,1,1,1,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
CW15_ABS05_ZW126_UZ1P0,2025_PULLBACK,0.5248430848919918,-0.08797658983502687,2.397322592737367,50,4,4,2,2,,0.4493565119721835,0.9000000000000001,0.1,0.5506434880278163
CW15_ABS05_ZW126_UZ1P5,2008_GFC,0.62264754590482,-0.12389705845112842,1.85586352634828,110,1,1,1,1,0.554411623834691,0.3313822381871915,0.7396887159533073,0.09999999999999999,0.4443931681847031
CW15_ABS05_ZW126_UZ1P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW126_UZ1P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW126_UZ1P5,2018Q4,0.09533271870402582,-0.04569042248481847,3.704550780779263,50,3,2,2,1,0.49508612121232815,0.8999945323820354,0.9000000000000001,0.09999999999999999,0.3946877551265817
