strategy_id,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final_Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_within_21d_count,relock_within_63d_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT,rank_sharpe,rank_calmar,rank_maxdd,rank_final_equity,rank_false_recovery,rank_missed_rebound,composite_score,rank_composite,materially_better
CW15_ABS10_ZW252_UZ0P5,15,0.1,252,0.5,0.1818790170995508,1.371500057387743,1.8449490379650755,-0.16905122540885442,1.0758810926077114,28.923579875173132,0.13261320414814315,15.325764457501553,0.007662882228750776,799,9,9,88.77777777777777,6,7,3,3,0.7322574323236285,0.5051364322727766,0.7383620689655173,0.1,0.42515140936304757,81.0,55.0,45.0,80.0,31.0,45.0,0.7615853658536584,75.0,False
CW15_ABS10_ZW252_UZ1P0,15,0.1,252,1.0,0.18709128747194392,1.410953716255079,1.899777339659723,-0.16905122540885342,1.1067135835274797,31.603253532660325,0.13259916701485952,15.27853837413145,0.0076392691870657255,712,9,9,79.11111111111111,6,6,2,3,0.7298775714277395,0.49741084421237813,0.7357064622124864,0.1,0.42528020791206667,67.0,44.0,9.0,66.0,31.0,28.0,0.5460365853658538,42.0,False
CW15_ABS10_ZW252_UZ1P5,15,0.1,252,1.5,0.19294563228086092,1.4471170242795885,1.9528196540778222,-0.16905122540885364,1.1413441802283195,34.89399830297195,0.1333310499729033,15.442610497838318,0.007721305248919159,437,9,9,48.55555555555556,6,5,2,2,0.7244337575907476,0.49573757677955144,0.7388557806912993,0.1,0.4261613842753009,48.0,30.0,14.0,43.0,31.0,11.0,0.4240853658536585,32.0,False
CW15_ABS10_ZW504_UZ0P5,15,0.1,504,0.5,0.19289732009690952,1.4477770030082058,1.9492060561749613,-0.18575032866539798,1.038476332628115,34.865555760773894,0.13323690022434775,16.089474850467788,0.008044737425233895,778,10,10,77.8,7,7,2,3,0.7261390431285892,0.4840247664279256,0.7344370860927152,0.1,0.42669551689811536,47.0,59.0,61.0,44.0,45.0,45.0,0.6195121951219511,53.0,False
CW15_ABS10_ZW504_UZ1P0,15,0.1,504,1.0,0.1899238004903956,1.4199118904919337,1.8960683466125616,-0.21900496327357288,0.8672123117737283,33.15676235389979,0.13375745478446258,16.226688213406533,0.008113344106703266,620,11,11,56.36363636363637,7,7,3,4,0.7248095271650054,0.4805582474789877,0.7324022346368715,0.1,0.42663877912322307,65.0,80.0,77.0,54.0,45.0,45.0,0.760060975609756,74.0,False
CW15_ABS10_ZW504_UZ1P5,15,0.1,504,1.5,0.19361813671542727,1.4480378585514337,1.9327098993494751,-0.219004963273573,0.8840810446545294,35.29221474987852,0.1337106868939988,15.97309088330695,0.007986545441653475,471,11,11,42.81818181818182,8,6,3,4,0.723028375348419,0.4744905090265103,0.7324022346368715,0.1,0.42770351309664273,46.0,78.0,79.0,40.0,56.0,28.0,0.6557926829268294,59.0,False
CW15_ABS15_ZW126_UZ0P5,15,0.15,126,0.5,0.1966852504736578,1.471512950127204,1.9798636356474861,-0.1690512254088542,1.163465393391678,37.1637789025918,0.13366192289144005,16.194116192855176,0.008097058096427589,310,5,5,62.0,4,5,1,1,0.7164853760803607,0.4699681358747122,0.7363417569193743,0.1,0.43209412293868493,25.0,16.0,33.0,22.0,12.0,11.0,0.3100609756097561,17.0,False
CW15_ABS15_ZW126_UZ1P0,15,0.15,126,1.0,0.20343571181929976,1.5168166198660482,2.046689800564756,-0.16905122540885298,1.2033968480694972,41.62062598136758,0.1341201758702152,16.22094984735532,0.00811047492367766,278,5,5,55.6,3,4,1,1,0.7152168894489976,0.46736046306599965,0.7367396593673966,0.1,0.43268316769649096,5.0,5.0,3.0,6.0,1.0,1.0,0.06128048780487804,2.0,False
CW15_ABS15_ZW126_UZ1P5,15,0.15,126,1.5,0.19794701542120796,1.4551207220335092,1.9241263024868835,-0.22713366960304138,0.8715000984537319,37.96077315965663,0.13603477183980997,16.560623410194026,0.008280311705097014,243,6,6,40.5,4,4,2,2,0.7141708210790632,0.4652382036191263,0.7337468982630274,0.1,0.43226891829293534,38.0,79.0,80.0,17.0,12.0,1.0,0.463109756097561,33.0,False
CW15_ABS15_ZW252_UZ0P5,15,0.15,252,0.5,0.1959718533543553,1.4704498148964436,1.977001075973897,-0.16905122540885398,1.1592453877834556,36.720225382582136,0.1332734047561879,16.059324256341785,0.008029662128170894,551,5,5,110.2,3,5,1,1,0.7197864479973625,0.46694929524188616,0.7335183129855717,0.1,0.43222237378533684,27.0,21.0,29.0,28.0,1.0,11.0,0.29268292682926833,14.0,False
