strategy_id,episode_id,entry_date,unlock_date,duration_days,macro_regime_at_entry,dominant_regime,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,entry_SPY_DD,entry_CREDIT_SPREAD,entry_D_CREDIT,entry_CREDIT_LEVEL_Z,unlock_CREDIT_SPREAD,unlock_D_CREDIT,unlock_CREDIT_LEVEL_Z,unlock_SPY_vs_MA20,unlock_SPY_vs_MA50,SPY_return_during_lock,SPY_maxDD_during_lock,final_strategy_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag,relock_within_21d,relock_within_63d
CW15_ABS15_ZW504_UZ0P5,4,2020-04-08,2020-06-15,46,FLAT,FLAT_LOW_RATE,15,0.15,504,0.5,-0.1853124632037285,1.9599999999999995,0.8899999999999992,5.605109194484581,1.1300000000000003,-0.2999999999999994,0.4522037021750281,0.004171403813831631,0.05515173712727495,0.14739944377568404,-0.06989506372506638,0.04216868824769149,0.052813376424729164,-0.03845547641947067,0.10714683060166763,-0.06846538114984968,False,True,False,False
CW15_ABS15_ZW504_UZ0P5,5,2022-02-25,2022-04-05,27,FLAT,FLAT_LOW_RATE,15,0.15,504,0.5,-0.0836489981929631,0.7999999999999998,0.17999999999999972,-0.32866511152329914,0.8699999999999997,-0.010000000000000231,-0.009586519969534026,0.01840440485027317,0.025650811901502202,0.06985529461607132,-0.04941900840318225,0.018234141010886606,-0.08252215485233005,-0.08193515366897086,-0.13382641258388783,-0.18298913507467585,True,True,False,True
CW15_ABS15_ZW504_UZ0P5,6,2022-07-07,2023-07-27,265,FLAT,INVERTED,15,0.15,504,0.5,-0.1796614088061285,1.1399999999999997,0.15999999999999925,1.8926146015741192,1.0499999999999998,-0.04999999999999982,0.4857863151317188,0.010503716835928989,0.041297063543377366,0.2079540971914835,-0.16680303676492436,0.1843222080188549,-0.027668938295659085,-0.04696480277992143,-0.0739620316432289,-0.08468330756443287,True,True,False,False
CW15_ABS15_ZW504_UZ1P0,1,2007-11-23,2008-11-03,238,FLAT,STEEP_HIGH_RATE,15,0.15,504,1.0,-0.0789239194208688,1.0099999999999998,0.16999999999999993,2.3512703681545224,3.04,,4.438518584729862,0.033079580011581955,-0.11921366109911846,-0.30205979407592887,-0.43627720910037104,-0.013787016465036883,-0.1008135468322009,-0.2485808430067492,-0.13493530408989196,-0.2485808430067492,True,True,False,False
CW15_ABS15_ZW504_UZ1P0,2,2018-11-26,2019-01-07,27,FLAT,FLAT_LOW_RATE,15,0.15,504,1.0,-0.0847094212830459,1.0500000000000007,0.08000000000000007,2.9255425544450486,1.1600000000000001,0.009999999999999787,3.004651508394042,0.008441620375136516,-0.03178171811339481,-0.0356546300692524,-0.15607447747426728,0.04766531956614961,0.07217555214345217,-0.013510623931932364,0.14027058048815233,-0.021253639218935416,False,True,False,False
CW15_ABS15_ZW504_UZ1P0,3,2020-03-09,2020-04-06,20,FLAT,FLAT_LOW_RATE,15,0.15,504,1.0,-0.1894840808657809,1.0100000000000002,0.17000000000000037,0.6409816466046768,1.9500000000000002,0.7199999999999998,5.968786376947496,0.05351803575051828,-0.09384975641231097,-0.16072931698269155,-0.2224498819833104,-0.03110129521015348,0.07320837775216593,-0.047446260657181494,0.18991480984979447,-0.0698950637250666,True,True,True,True
CW15_ABS15_ZW504_UZ1P0,4,2020-04-08,2020-06-04,39,FLAT,FLAT_LOW_RATE,15,0.15,504,1.0,-0.1853124632037285,1.9599999999999995,0.8899999999999992,5.605109194484581,1.2200000000000002,-0.31000000000000005,0.8766099538629919,0.04951083652168098,0.101408209617039,0.17746004919882408,-0.047446260657181494,0.022814746030236366,0.022756051696761315,-0.0698950637250666,0.153887023904826,-0.0698950637250666,True,True,False,False
CW15_ABS15_ZW504_UZ1P0,5,2022-02-25,2022-04-05,27,FLAT,FLAT_LOW_RATE,15,0.15,504,1.0,-0.0836489981929631,0.7999999999999998,0.17999999999999972,-0.32866511152329914,0.8699999999999997,-0.010000000000000231,-0.009586519969534026,0.01840440485027317,0.025650811901502202,0.06985529461607132,-0.04941900840318225,0.018234141010886606,-0.08252215485233005,-0.08193515366897086,-0.13382641258388783,-0.18298913507467585,True,True,False,True
CW15_ABS15_ZW504_UZ1P0,6,2022-07-07,2023-01-26,140,FLAT,INVERTED,15,0.15,504,1.0,-0.1796614088061285,1.1399999999999997,0.15999999999999925,1.8926146015741192,1.0600000000000005,-0.10999999999999943,0.9918016285679621,0.03467672399297572,0.03175383887515082,0.05372613020107031,-0.16680303676492436,0.09875448104880702,-0.01734404465867878,-0.04894651737778466,0.022813987266244062,-0.07538734629312305,False,True,False,False
CW15_ABS15_ZW504_UZ1P5,1,2007-11-23,2008-11-03,238,FLAT,STEEP_HIGH_RATE,15,0.15,504,1.5,-0.0789239194208688,1.0099999999999998,0.16999999999999993,2.3512703681545224,3.04,,4.438518584729862,0.033079580011581955,-0.11921366109911846,-0.30205979407592887,-0.43627720910037104,-0.013787016465036883,-0.1008135468322009,-0.2485808430067492,-0.13493530408989196,-0.2485808430067492,True,True,False,False
