date,GS10,final_regime_confirmed,hmm_state_name
2016-08-16,1.57,FLAT_MID_RATE,LOW
2016-08-17,1.56,FLAT_MID_RATE,LOW
2016-08-18,1.53,FLAT_MID_RATE,LOW
2016-08-19,1.58,FLAT_MID_RATE,LOW
2016-08-22,1.55,FLAT_MID_RATE,LOW
2016-08-23,1.55,FLAT_MID_RATE,LOW
2016-08-24,1.56,FLAT_MID_RATE,LOW
2016-08-25,1.58,FLAT_MID_RATE,LOW
2016-08-26,1.62,FLAT_MID_RATE,LOW
2016-08-29,1.57,FLAT_MID_RATE,LOW
2016-08-30,1.57,FLAT_MID_RATE,LOW
2016-08-31,1.58,FLAT_MID_RATE,LOW
2016-09-01,1.57,FLAT_MID_RATE,LOW
2016-09-02,1.6,FLAT_MID_RATE,LOW
2016-09-06,1.55,FLAT_MID_RATE,LOW
2016-09-07,1.54,FLAT_MID_RATE,LOW
2016-09-08,1.61,FLAT_MID_RATE,LOW
2016-09-09,1.67,FLAT_MID_RATE,LOW
2016-09-29,1.56,FLAT_MID_RATE,LOW
2016-09-30,1.6,FLAT_MID_RATE,LOW
2016-10-03,1.63,FLAT_MID_RATE,LOW
2016-10-04,1.69,FLAT_MID_RATE,LOW
2016-10-05,1.72,FLAT_MID_RATE,LOW
2017-06-15,2.16,FLAT_MID_RATE,MID
2017-06-16,2.16,FLAT_MID_RATE,MID
2017-06-19,2.19,FLAT_MID_RATE,MID
2017-06-20,2.16,FLAT_MID_RATE,MID
2017-06-21,2.16,FLAT_MID_RATE,MID
2017-06-22,2.15,FLAT_MID_RATE,MID
2017-06-23,2.15,FLAT_MID_RATE,MID
2017-06-26,2.14,FLAT_MID_RATE,MID
2017-06-27,2.21,FLAT_MID_RATE,MID
2017-06-28,2.22,FLAT_MID_RATE,MID
2017-06-29,2.27,FLAT_MID_RATE,MID
2017-08-14,2.22,FLAT_MID_RATE,MID
2017-08-15,2.27,FLAT_MID_RATE,MID
2017-08-16,2.23,FLAT_MID_RATE,MID
2017-08-17,2.19,FLAT_MID_RATE,MID
2017-08-18,2.19,FLAT_MID_RATE,MID
2017-08-21,2.18,FLAT_MID_RATE,MID
2017-08-22,2.22,FLAT_MID_RATE,MID
2017-08-23,2.17,FLAT_MID_RATE,MID
2017-08-24,2.19,FLAT_MID_RATE,MID
2017-08-25,2.17,FLAT_MID_RATE,MID
2017-08-28,2.16,FLAT_MID_RATE,MID
2017-08-29,2.13,FLAT_MID_RATE,MID
2017-08-30,2.15,FLAT_MID_RATE,MID
2017-08-31,2.12,FLAT_MID_RATE,MID
2017-09-01,2.16,FLAT_MID_RATE,MID
2017-09-05,2.07,FLAT_MID_RATE,MID
2017-09-06,2.1,FLAT_MID_RATE,MID
2017-09-07,2.05,FLAT_MID_RATE,MID
2017-09-08,2.06,FLAT_MID_RATE,MID
2017-09-11,2.14,FLAT_MID_RATE,MID
2017-09-12,2.17,FLAT_MID_RATE,MID
2017-09-13,2.2,FLAT_MID_RATE,MID
2017-09-14,2.2,FLAT_MID_RATE,MID
2017-09-15,2.2,FLAT_MID_RATE,MID
2017-09-18,2.23,FLAT_MID_RATE,MID
2017-09-19,2.24,FLAT_MID_RATE,MID
2017-09-20,2.28,FLAT_MID_RATE,MID
2017-09-21,2.27,FLAT_MID_RATE,MID
2017-09-22,2.26,FLAT_MID_RATE,MID
2017-09-25,2.22,FLAT_MID_RATE,MID
2017-09-26,2.24,FLAT_MID_RATE,MID
2017-09-27,2.31,FLAT_MID_RATE,MID
2017-09-28,2.31,FLAT_MID_RATE,MID
2017-09-29,2.33,FLAT_MID_RATE,MID
2017-10-02,2.34,FLAT_MID_RATE,MID
2017-10-12,2.33,FLAT_MID_RATE,MID
2017-10-13,2.28,FLAT_MID_RATE,MID
2017-10-16,2.3,FLAT_MID_RATE,MID
2017-10-17,2.3,FLAT_MID_RATE,MID
2017-10-18,2.34,FLAT_MID_RATE,MID
2017-10-19,2.33,FLAT_MID_RATE,MID
2017-10-20,2.39,FLAT_MID_RATE,MID
2017-10-23,2.38,FLAT_MID_RATE,MID
2017-10-24,2.42,FLAT_MID_RATE,MID
2017-10-25,2.44,FLAT_MID_RATE,MID
2017-10-26,2.46,FLAT_MID_RATE,MID
2017-10-27,2.42,FLAT_MID_RATE,MID
2017-10-30,2.37,FLAT_MID_RATE,MID
2017-10-31,2.38,FLAT_MID_RATE,MID
2017-11-01,2.37,FLAT_MID_RATE,MID
2017-11-02,2.35,FLAT_MID_RATE,MID
2017-11-03,2.34,FLAT_MID_RATE,MID
2017-11-06,2.32,FLAT_MID_RATE,MID
2017-11-07,2.32,FLAT_MID_RATE,MID
2017-11-08,2.32,FLAT_MID_RATE,MID
2017-11-09,2.33,FLAT_MID_RATE,MID
2017-11-10,2.4,FLAT_MID_RATE,MID
2017-11-13,2.4,FLAT_MID_RATE,MID
2017-11-14,2.38,FLAT_MID_RATE,MID
2017-11-15,2.33,FLAT_MID_RATE,MID
2017-11-16,2.37,FLAT_MID_RATE,MID
2017-11-17,2.35,FLAT_MID_RATE,MID
2017-11-20,2.37,FLAT_MID_RATE,MID
2017-11-21,2.36,FLAT_MID_RATE,MID
2017-11-22,2.32,FLAT_MID_RATE,MID
2017-11-24,2.34,FLAT_MID_RATE,MID
2017-11-27,2.32,FLAT_MID_RATE,MID
2017-11-28,2.34,FLAT_MID_RATE,MID
2017-11-29,2.37,FLAT_MID_RATE,MID
2017-11-30,2.42,FLAT_MID_RATE,MID
2017-12-01,2.37,FLAT_MID_RATE,MID
2017-12-04,2.37,FLAT_MID_RATE,MID
2017-12-05,2.36,FLAT_MID_RATE,MID
2017-12-06,2.33,FLAT_MID_RATE,MID
2017-12-07,2.37,FLAT_MID_RATE,MID
2017-12-08,2.38,FLAT_MID_RATE,MID
2017-12-11,2.39,FLAT_MID_RATE,MID
2017-12-12,2.4,FLAT_MID_RATE,MID
2017-12-13,2.36,FLAT_MID_RATE,MID
2017-12-14,2.35,FLAT_MID_RATE,MID
2017-12-15,2.35,FLAT_MID_RATE,MID
2017-12-18,2.39,FLAT_MID_RATE,MID
2017-12-19,2.46,FLAT_MID_RATE,MID
2017-12-20,2.49,FLAT_MID_RATE,MID
2017-12-21,2.48,FLAT_MID_RATE,MID
2017-12-22,2.48,FLAT_MID_RATE,MID
2017-12-26,2.47,FLAT_MID_RATE,MID
2017-12-27,2.42,FLAT_MID_RATE,MID
2017-12-28,2.43,FLAT_MID_RATE,MID
2017-12-29,2.4,FLAT_MID_RATE,MID
2018-01-02,2.46,FLAT_MID_RATE,MID
2018-01-03,2.44,FLAT_MID_RATE,MID
2018-01-04,2.46,FLAT_MID_RATE,MID
2018-01-05,2.47,FLAT_MID_RATE,MID
2018-01-08,2.49,FLAT_MID_RATE,MID
2018-01-09,2.55,FLAT_MID_RATE,MID
2018-01-10,2.55,FLAT_MID_RATE,MID
2018-01-11,2.54,FLAT_MID_RATE,MID
2018-01-12,2.55,FLAT_MID_RATE,MID
2018-01-16,2.54,FLAT_MID_RATE,MID
2018-01-17,2.57,FLAT_MID_RATE,MID
2018-01-18,2.62,FLAT_MID_RATE,MID
2018-01-19,2.64,FLAT_MID_RATE,MID
2018-01-22,2.66,FLAT_MID_RATE,MID
2018-01-23,2.63,FLAT_MID_RATE,MID
2018-01-24,2.65,FLAT_MID_RATE,MID
2018-01-25,2.63,FLAT_MID_RATE,MID
2018-01-26,2.66,FLAT_MID_RATE,MID
2018-01-29,2.7,FLAT_MID_RATE,MID
