pure_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
INVERTED_STRESS,IEF,172,-0.06813529735810586,0.09330500726041233,-0.1014675937137759,-1.0874828339124605,-0.11669700803780003,-0.04702367392486717
INVERTED_STRESS,CASH,172,0.03708117111444542,0.0006001277685711385,0.0,0.0,0.0,0.025162777314061247
STEEP_HIGH_RATE_NORMAL,SPY,385,0.21646966597463102,0.16275275457418525,0.215051404345469,1.3213380314705838,-0.086610707952266,0.3490121159115622
STEEP_HIGH_RATE_NORMAL,GOLD,385,0.33331753197194014,0.16253650439015238,0.33176302519107503,2.041160085458166,-0.12703473192549375,0.5519251174371547
STEEP_HIGH_RATE_NORMAL,CMDTY_FUT,385,0.2961503159831609,0.26040341550614887,0.29463948314392474,1.1314731896708454,-0.15460212372419002,0.4863201684245744
STEEP_HIGH_RATE_NORMAL,IEF,385,0.054970831870655656,0.07643273019178004,0.0537396824184444,0.7030977734748488,-0.05883416157520016,0.08519115812025335
STEEP_HIGH_RATE_NORMAL,CASH,385,0.0011684398193236856,3.2342932999625044e-05,0.0,0.0,0.0,0.0017856667091706857
STEEP_HIGH_RATE_STRESS,SPY,248,-0.38217753751806327,0.4020627684884594,-0.3896480730019114,-0.9691224941488101,-0.4668556398932243,-0.3774369831134555
STEEP_HIGH_RATE_STRESS,GOLD,248,-0.07748139698209588,0.31688005119409957,-0.0886277941507907,-0.2796887775573579,-0.29414136036638083,-0.07629970367542871
STEEP_HIGH_RATE_STRESS,CMDTY_FUT,248,-0.3303867792073275,0.39326958286129854,-0.33847318069179777,-0.8606645299877493,-0.5881258400679279,-0.32611045617003576
STEEP_HIGH_RATE_STRESS,IEF,248,0.13106583982905207,0.09628923208551579,0.11740931733663729,1.2193400528146747,-0.061825322894032975,0.12885684844383727
STEEP_HIGH_RATE_STRESS,CASH,248,0.012222648940415581,0.0004360515428324329,0.0,0.0,0.0,0.012027476599761666
STEEP_LOW_RATE_NORMAL,SPY,797,0.16744387117712822,0.12676980005685196,0.16618491160781113,1.3109187798141422,-0.0972764695955407,0.6317259513563573
STEEP_LOW_RATE_NORMAL,GOLD,797,-0.09765965694000367,0.15772815026752837,-0.09863366579091704,-0.6253396468773705,-0.35789313090840946,-0.27747986347620945
STEEP_LOW_RATE_NORMAL,CMDTY_FUT,797,0.19225976610657813,0.19439298178652908,0.19097454738633202,0.9824148260457726,-0.18604651162790609,0.7439662979308344
STEEP_LOW_RATE_NORMAL,IEF,797,-0.02245290913006337,0.056332417654792695,-0.023507850947050102,-0.4173059123985615,-0.10064395102044366,-0.06930264370257677
STEEP_LOW_RATE_NORMAL,CASH,797,0.0010801823418564727,6.268058582930664e-05,0.0,0.0,0.0,0.0034202830620713165
STEEP_LOW_RATE_STRESS,SPY,188,0.4972135531548221,0.19016379827563631,0.49623349097077485,2.6095055708316277,-0.0953751005914586,0.35134812041696617
STEEP_LOW_RATE_STRESS,GOLD,188,0.03951781274413024,0.2110737879034082,0.03883829175906284,0.1840033864216056,-0.18043709226641924,0.029335991141085538
STEEP_LOW_RATE_STRESS,CMDTY_FUT,188,0.13664579367318974,0.25666045600750576,0.13590161099809928,0.5294996085962108,-0.16532414187890754,0.10026710039358755
STEEP_LOW_RATE_STRESS,IEF,188,-0.037525374233410846,0.07036795427255944,-0.038156290464393616,-0.5422395870228243,-0.057475845166390704,-0.028130658527356744
STEEP_LOW_RATE_STRESS,CASH,188,0.0006559022053322927,6.189616716958871e-05,0.0,0.0,-3.9684516062177266e-07,0.0004892831232612416
STEEP_MID_RATE_NORMAL,SPY,678,0.2207191507318116,0.10995488069532534,0.21774655497635753,1.9803264175213178,-0.07278336447059308,0.7101635047835646
STEEP_MID_RATE_NORMAL,GOLD,678,0.09316735992737857,0.14167955704656943,0.09050489140657736,0.6387999319960381,-0.2216002210986988,0.27082434715812287
STEEP_MID_RATE_NORMAL,CMDTY_FUT,678,0.015311326546021187,0.15555216264854418,0.012837399018009954,0.08252793660615879,-0.24280243150331815,0.04172976697011621
STEEP_MID_RATE_NORMAL,IEF,678,0.0411399174652054,0.06063157811041249,0.03860322003170591,0.6366850613950362,-0.06346196757026212,0.11457118362099106
STEEP_MID_RATE_NORMAL,CASH,678,0.0024429017610665404,0.00020538886039460005,0.0,0.0,0.0,0.00658614791445733
STEEP_MID_RATE_STRESS,SPY,339,-0.10102170470482963,0.2937506453771647,-0.10196184657560026,-0.3471033959591309,-0.271317056368512,-0.13347385580257876
STEEP_MID_RATE_STRESS,GOLD,339,0.09220627197341358,0.22987986718950093,0.09106472672160071,0.39614050519061644,-0.15441461836016535,0.1259753840199207
STEEP_MID_RATE_STRESS,CMDTY_FUT,339,-0.3761936233122516,0.32737901072674214,-0.37684595548012023,-1.151099927400866,-0.521000207830308,-0.4699788541659956
STEEP_MID_RATE_STRESS,IEF,339,0.1623334276933286,0.08609833484837791,0.16111902009933776,1.8713372376257198,-0.06029337792694345,0.22429304959828067
STEEP_MID_RATE_STRESS,CASH,339,0.0010461332755424824,6.141173441423781e-05,0.0,0.0,-1.1905747000495737e-06,0.001407552410449986
