heatmap_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_LOWMID_RATE_STRESS,DBB,405,-0.2403548044074696,0.2160327132022398,-0.25253035431366455,-1.168944973982979,-0.4220407976741467,-0.35712802657445764
FLAT_LOWMID_RATE_STRESS,DBA,405,-0.20959614183788966,0.15014432090913815,-0.22226288770076197,-1.4803283024954859,-0.3387847330611815,-0.3147818898465621
FLAT_LOWMID_RATE_STRESS,CASH,405,0.01626975102504047,0.00044561253199725735,0.0,0.0,-3.5722359331691322e-06,0.0262766854222658
FLAT_LOW_RATE_NORMAL,SPY,212,0.5251266528947394,0.19541986871194397,0.5234489889202927,2.6785863298878563,-0.09440451171881992,0.4262962307029323
FLAT_LOW_RATE_NORMAL,GOLD,212,0.06724838645948306,0.17563514602149588,0.06607298471178513,0.3761945499433154,-0.15332007983823215,0.05627966366047388
FLAT_LOW_RATE_NORMAL,IEF,212,-0.03505871241162939,0.03941226023409478,-0.03612218916250198,-0.9165216343327952,-0.04634957615585977,-0.02957703494257069
FLAT_LOW_RATE_NORMAL,DBC,212,0.5030049863225989,0.17487977295623375,0.5013509898934871,2.8668323466943066,-0.10714283051497586,0.4088717651093319
FLAT_LOW_RATE_NORMAL,DBB,212,0.556878827940495,0.17157841954258438,0.5551660739236388,3.2356404459469394,-0.06488547617502627,0.4512364431224889
FLAT_LOW_RATE_NORMAL,DBA,212,0.2872610174808521,0.11816871008369628,0.28584325628416485,2.4189420031894096,-0.0552764388295236,0.23668535534173785
FLAT_LOW_RATE_NORMAL,CASH,212,0.0011032468944520701,2.092816156573597e-05,0.0,0.0,0.0,0.0009280471081392072
FLAT_MID_RATE_NORMAL,SPY,455,0.1527292586937714,0.09822546082005824,0.1374904077690089,1.3997430668294966,-0.06889816704140805,0.29256412940518284
FLAT_MID_RATE_NORMAL,GOLD,455,0.1378107214604838,0.10834132778197698,0.12277110787733014,1.1331881415039626,-0.11698162953219626,0.2625178855143664
FLAT_MID_RATE_NORMAL,IEF,455,0.03636342258486924,0.04526041640104726,0.02265861568755323,0.500627645286731,-0.05803517916411505,0.06661556270947622
FLAT_MID_RATE_NORMAL,DBC,455,0.06075436349588559,0.129578868605035,0.04672308370528144,0.36057641348680475,-0.12017070059761825,0.11236929673289442
FLAT_MID_RATE_NORMAL,DBB,455,-0.0016339699912047978,0.13211504074496108,-0.0148451059421435,-0.11236499537400095,-0.21295782311783185,-0.0029482817682822127
FLAT_MID_RATE_NORMAL,DBA,455,-0.07439441806026537,0.10709024511349582,-0.0866412433505408,-0.8090488845059336,-0.132891820465196,-0.13027848323008318
FLAT_MID_RATE_NORMAL,CASH,455,0.013404329366790257,0.00040974155639116316,0.0,0.0,0.0,0.024332815470977653
INVERTED_NORMAL,SPY,604,0.24188650268804057,0.12387261481578979,0.18485457088177948,1.4922957035877187,-0.09974317142568767,0.6807298146614467
INVERTED_NORMAL,GOLD,604,0.20706655076411562,0.14276833334128697,0.15162906988856872,1.0620637387851284,-0.11347406182164954,0.5699848171240376
INVERTED_NORMAL,IEF,604,-0.0023245663192614785,0.07654134574094035,-0.048178709987739654,-0.6294468632783639,-0.10375258948098809,-0.0055625368764802285
INVERTED_NORMAL,DBC,604,0.04516062749952621,0.15725430834702592,-0.002870622256948785,-0.018254649345529846,-0.15405806812469547,0.11167643507670588
INVERTED_NORMAL,DBB,604,0.10636539755756558,0.19423275520040983,0.05553177266117082,0.2859032329736197,-0.215949846299603,0.2741402698034969
INVERTED_NORMAL,DBA,604,0.1910215108608475,0.16039111208403653,0.13631338667537007,0.8498811742383144,-0.12358702821176815,0.5204286271558585
INVERTED_NORMAL,CASH,604,0.04816556668101768,0.0005006067013706935,0.0,0.0,0.0,0.11935250575784173
INVERTED_STRESS,SPY,143,0.12989060459499568,0.23245203793763178,0.09112131417226799,0.3920004960193825,-0.16680303676492436,0.07175631436618524
