oil_nonrisk_rate_cross_state,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_MID_RATE__OIL_HIGH,SPY,28,-0.14593788801873753,0.14366266203944997,-0.15848392371305298,-1.1031671101119724,-0.05032564710311349,-0.017375208029021816
FLAT_MID_RATE__OIL_HIGH,GOLD,28,0.10584825299275646,0.10226901508216445,0.08960130631715635,0.8761334627616129,-0.027773479835128678,0.01124190842891859
FLAT_MID_RATE__OIL_HIGH,IEF,28,-0.058538592503748044,0.05177202254054908,-0.07237059811415203,-1.3978707912651018,-0.012666480662230417,-0.006680024571728893
FLAT_MID_RATE__OIL_HIGH,DBC,28,0.10807622982721332,0.10475888601774082,0.09179744525762379,0.8762735911689437,-0.03040975254441347,0.011468080576856332
FLAT_MID_RATE__OIL_HIGH,DBB,28,-0.3680914526327502,0.12989023198578226,-0.3773876000041614,-2.9054347985572164,-0.06525301741572609,-0.04972244856139507
FLAT_MID_RATE__OIL_HIGH,DBA,28,0.06659467235316585,0.10750549723268249,0.0509300421942156,0.4737436085150488,-0.040700973440273236,0.007189165994946123
FLAT_MID_RATE__OIL_HIGH,CASH,28,0.014905473644168277,0.00020644129377648762,0.0,0.0,0.0,0.0016452940960416385
FLAT_MID_RATE__OIL_LOW,SPY,12,0.4885535393968776,0.13425322736211961,0.4535974971391663,3.378671083382474,-0.019983887818669555,0.019123647646207553
FLAT_MID_RATE__OIL_LOW,GOLD,12,0.788210968948321,0.10140813042380446,0.7462487539288689,7.358865120677692,-0.011547098821608426,0.028063500722284695
FLAT_MID_RATE__OIL_LOW,IEF,12,0.4943930959850391,0.048729357531020076,0.45930153044209154,9.425560970093027,-0.0019980019120229287,0.019313673638176487
FLAT_MID_RATE__OIL_LOW,DBC,12,0.33743402168149705,0.08101681521277454,0.3060140455328777,3.777167057594065,-0.013613830257937387,0.013941665796330494
FLAT_MID_RATE__OIL_LOW,DBB,12,0.3734458901808899,0.1286607312659471,0.34118269182789107,2.6518012797755066,-0.020576221374279724,0.015225353458527824
FLAT_MID_RATE__OIL_LOW,DBA,12,1.1994937066770164,0.07792927640971657,1.1479225939171238,14.730312493623972,-0.0036809360658329737,0.03824794952984778
FLAT_MID_RATE__OIL_LOW,CASH,12,0.024083328586639308,6.335420742042532e-06,0.0,0.0,0.0,0.0011338756314263065
FLAT_MID_RATE__OIL_MID,SPY,415,0.16762594558662136,0.09340159021775103,0.15265448785684166,1.6343885312975064,-0.06618391134353996,0.2907362374567135
FLAT_MID_RATE__OIL_MID,GOLD,415,0.12519391043175787,0.10905234934373512,0.11076829663621268,1.0157350786370394,-0.11698162953219626,0.21440218238934827
FLAT_MID_RATE__OIL_MID,IEF,415,0.032119516737613596,0.04461571607520714,0.01888097788227716,0.4231911878417498,-0.05591051070084041,0.053442648735057885
FLAT_MID_RATE__OIL_MID,DBC,415,0.0505709039071518,0.1323486344993336,0.03709168176284994,0.2802573815979696,-0.12017070059761836,0.0846355660599809
FLAT_MID_RATE__OIL_MID,DBB,415,0.020202221097347817,0.13240456136266618,0.007108248570149467,0.053685828471418236,-0.18865144668338163,0.03348638893030054
FLAT_MID_RATE__OIL_MID,DBA,415,-0.10586662031420735,0.1075421537914278,-0.11734359751119305,-1.0911404818874524,-0.17119078189275427,-0.1682973467599067
FLAT_MID_RATE__OIL_MID,CASH,415,0.012996029855289803,0.00040921117274080336,0.0,0.0,0.0,0.021492010146037632
INVERTED__OIL_MID,SPY,604,0.24188650268804057,0.12387261481578979,0.18485457088177948,1.4922957035877187,-0.09974317142568767,0.6807298146614467
INVERTED__OIL_MID,GOLD,604,0.20706655076411562,0.14276833334128697,0.15162906988856872,1.0620637387851284,-0.11347406182164954,0.5699848171240376
INVERTED__OIL_MID,IEF,604,-0.0023245663192614785,0.07654134574094035,-0.048178709987739654,-0.6294468632783639,-0.10375258948098809,-0.0055625368764802285
INVERTED__OIL_MID,DBC,604,0.04516062749952621,0.15725430834702592,-0.002870622256948785,-0.018254649345529846,-0.15405806812469547,0.11167643507670588
INVERTED__OIL_MID,DBB,604,0.10636539755756558,0.19423275520040983,0.05553177266117082,0.2859032329736197,-0.215949846299603,0.2741402698034969
INVERTED__OIL_MID,DBA,604,0.1910215108608475,0.16039111208403653,0.13631338667537007,0.8498811742383144,-0.12358702821176815,0.5204286271558585
INVERTED__OIL_MID,CASH,604,0.04816556668101768,0.0005006067013706935,0.0,0.0,0.0,0.11935250575784173
STEEP_HIGH_RATE__OIL_HIGH,SPY,209,0.07899385446474838,0.1579250810634307,0.07804652433504877,0.4941996787939044,-0.09831955092327826,0.0650862586144978
STEEP_HIGH_RATE__OIL_HIGH,GOLD,209,0.39574936629697977,0.17559571442670505,0.3945248165912314,2.246779301415747,-0.12703473192549386,0.3185549498482192
STEEP_HIGH_RATE__OIL_HIGH,IEF,209,0.1166418411142609,0.062450717850221736,0.11566111190169104,1.8520381491704563,-0.044026923818010655,0.09581720041933917
STEEP_HIGH_RATE__OIL_HIGH,DBC,209,0.015355655217942576,0.21609179767164563,0.0144638459810702,0.06693380376726843,-0.15185381964943778,0.012718858582351888
STEEP_HIGH_RATE__OIL_HIGH,DBB,209,0.009672569595368552,0.26733748386233663,0.008785366180197984,0.032862455549712365,-0.220962663211268,0.0080154961631973
STEEP_HIGH_RATE__OIL_HIGH,DBA,209,-0.1389253635738109,0.16225814361885776,-0.13968231805149822,-0.8608647611525135,-0.17114156319460205,-0.11666567775903958
