strategy,steep_high_normal_variant,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days
VC_ANCHOR_SHN_GOLD,SHN_GOLD,2022_RATE_WAR,0.2220608256399954,-0.11410786571433351,1.2061072347840291,0.30510045722278645,0.40719796786184637,0.001184720982782874,0.042134831460674156,0.2443820224719101,215.0
VC_ANCHOR_SHN_GOLD,SHN_GOLD,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,2008_GFC,0.5688031782425862,-0.06794884140592006,2.0140571800920504,0.0,0.04337950268643879,0.14709668778975168,0.7387755102040818,0.0707482993197279,357.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,2015_2016,-0.1276847008385118,-0.28119110165715044,-0.5895040539624808,0.3203463203463203,0.0,0.6796536796536796,0.0,0.0,0.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,2022_RATE_WAR,0.36184108954794225,-0.11410786571433373,1.877225622342475,0.30510045722278645,0.31450133864836327,0.09388135019626603,0.042134831460674156,0.2443820224719101,215.0
VC_ANCHOR_SHN_CMDTY,SHN_CMDTY,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,2008_GFC,0.3334054018372614,-0.05732441989644854,1.5570108682118824,0.046112562330167646,0.11064562516352737,0.03371800298249545,0.7387755102040818,0.0707482993197279,357.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,2015_2016,0.09572878561544829,-0.07256174221781408,0.9116218410972976,0.6292765381083469,0.3707234618916533,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,2022_RATE_WAR,0.16522552247342626,-0.1141078657143334,0.9131988461542552,0.3490647605877698,0.36323366449686306,0.001184720982782874,0.042134831460674156,0.2443820224719101,215.0
VC_ANCHOR_SHN_SPY_GOLD_INVVOL,SHN_SPY_GOLD_INVVOL,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,2008_GFC,0.4612174940198577,-0.05980566655097108,1.8457865261530944,0.06151452368782155,0.04337950268643879,0.08558216410193012,0.7387755102040818,0.0707482993197279,357.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,2015_2016,-0.05076472461027215,-0.19572847759577938,-0.31614334447381837,0.7298197696994161,0.0,0.27018023030058397,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,2022_RATE_WAR,0.2002735733090184,-0.11410786571433285,1.0875269568855006,0.3613585146738287,0.31450133864836327,0.03762329274522393,0.042134831460674156,0.2443820224719101,215.0
VC_ANCHOR_SHN_SPY_CMDTY_INVVOL,SHN_SPY_CMDTY_INVVOL,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0
VC_ANCHOR_SHN_SPY_GOLD_CMDTY_INVVOL,SHN_SPY_GOLD_CMDTY_INVVOL,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357.0
VC_ANCHOR_SHN_SPY_GOLD_CMDTY_INVVOL,SHN_SPY_GOLD_CMDTY_INVVOL,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY_GOLD_CMDTY_INVVOL,SHN_SPY_GOLD_CMDTY_INVVOL,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0
VC_ANCHOR_SHN_SPY_GOLD_CMDTY_INVVOL,SHN_SPY_GOLD_CMDTY_INVVOL,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0
