date,MCL=F,USO,SPY,GLD,IEF,TLT,DBC,SHY,BIL,CL=F
2020-03-06,,69.83999633789062,271.8390808105469,157.5500030517578,103.22380065917969,138.34408569335938,11.625042915344238,74.65338897705078,77.2994155883789,41.279998779296875
2020-03-09,,52.15999984741211,250.60992431640625,157.80999755859375,104.14972686767578,142.09371948242188,10.720099449157715,75.06041717529297,77.33316802978516,31.1299991607666
2020-03-10,,57.91999816894531,263.5777282714844,154.47999572753906,102.23786926269531,134.81016540527344,11.059453964233398,74.73131561279297,77.31631469726562,34.36000061035156
2020-03-11,,55.52000045776367,250.7287139892578,153.92999267578125,101.2176284790039,129.8494873046875,10.859321594238281,74.64474487304688,77.33316802978516,32.97999954223633
2020-03-12,,52.31999969482422,226.73968505859375,147.7899932861328,101.2690658569336,130.65415954589844,10.4242525100708,74.62737274169922,77.34162902832031,31.5
2020-03-13,,55.68000030517578,246.12286376953125,143.27999877929688,100.60892486572266,127.70093536376953,10.537369728088379,74.72265625,77.35851287841797,31.729999542236328
2020-03-16,,48.400001525878906,219.19117736816406,141.63999938964844,103.26663970947266,135.9716033935547,9.90217113494873,74.8438949584961,77.36693572998047,28.700000762939453
2020-03-17,,45.68000030517578,231.0257568359375,143.55999755859375,100.67749786376953,126.90461730957031,9.74554443359375,74.6706771850586,77.36693572998047,26.950000762939453
2020-03-18,,37.68000030517578,219.32827758789062,140.6999969482422,99.280029296875,119.7455825805664,9.423593521118164,74.575439453125,77.38385772705078,20.3700008392334
2020-03-19,,42.959999084472656,219.79429626464844,138.0399932861328,99.60578155517578,123.00569915771484,9.623725891113281,74.7053451538086,77.36693572998047,25.219999313354492
2020-03-20,,39.52000045776367,210.3224334716797,140.11000061035156,102.14354705810547,132.25526428222656,9.519309043884277,74.90451049804688,77.39228057861328,22.43000030517578
2020-03-23,,39.040000915527344,204.94485473632812,146.3000030517578,103.35237884521484,137.705322265625,9.632427215576172,74.99111938476562,77.37541198730469,23.360000610351562
2020-03-24,,39.84000015258789,223.51353454589844,153.39999389648438,102.64936828613281,135.14198303222656,9.84126091003418,74.88719177246094,77.37541198730469,24.010000228881836
2020-03-25,,40.63999938964844,226.8595428466797,151.3000030517578,102.70942687988281,134.83505249023438,10.006586074829102,74.97382354736328,77.37541198730469,24.489999771118164
2020-03-26,,38.63999938964844,240.1059112548828,153.24000549316406,102.95802307128906,135.49876403808594,9.971780776977539,75.06041717529297,77.37541198730469,22.600000381469727
2020-03-27,,35.7599983215332,232.9541473388672,152.25,103.72103118896484,139.11558532714844,9.936975479125977,75.0431137084961,77.35851287841797,21.510000228881836
2020-03-30,,33.84000015258789,240.51950073242188,152.9199981689453,103.96109771728516,137.97076416015625,9.910870552062988,75.07777404785156,77.35851287841797,20.09000015258789
2020-03-31,,33.68000030517578,236.93450927734375,148.0500030517578,104.14972686767578,136.850830078125,9.78905200958252,75.06041717529297,77.36693572998047,20.479999542236328
2020-04-01,,35.040000915527344,226.27125549316406,149.4499969482422,104.57374572753906,138.7682342529297,9.51060962677002,75.1089859008789,77.3602066040039,20.309999465942383
2020-04-02,,40.880001068115234,231.49252319335938,151.89999389648438,104.59088897705078,139.6488494873047,9.693338394165039,75.1263427734375,77.36865997314453,25.31999969482422
2020-04-03,,47.20000076293945,228.14654541015625,152.64999389648438,104.66815185546875,139.9810791015625,9.936975479125977,75.1089859008789,77.34330749511719,28.34000015258789
2020-04-06,,43.84000015258789,243.47023010253906,156.8800048828125,104.19606018066406,139.6156005859375,9.98918342590332,75.05695343017578,77.35173797607422,26.079999923706055
2020-04-07,,40.720001220703125,243.71847534179688,156.0399932861328,103.7325439453125,138.1535186767578,10.058795928955078,75.03962707519531,77.33488464355469,23.6299991607666
2020-04-08,,42.959999084472656,251.89974975585938,154.64999389648438,103.60379028320312,137.14834594726562,10.032690048217773,75.08296966552734,77.34330749511719,25.09000015258789
2020-04-09,,39.84000015258789,255.7329864501953,158.69000244140625,103.82698822021484,137.39752197265625,10.058795928955078,75.1089859008789,77.32640838623047,22.760000228881836
2020-04-13,,39.439998626708984,253.39805603027344,161.41000366210938,103.60379028320312,136.14309692382812,10.23282241821289,75.11763763427734,77.34330749511719,22.40999984741211
2020-04-14,,37.279998779296875,260.8715515136719,162.67999267578125,103.74116516113281,136.1099090576172,10.145808219909668,75.11763763427734,77.35173797607422,20.110000610351562
2020-04-15,,35.439998626708984,255.32847595214844,161.85000610351562,104.66815185546875,139.7152862548828,9.936975479125977,75.1436538696289,77.34330749511719,19.8700008392334
2020-04-16,,34.880001068115234,256.56024169921875,161.7100067138672,104.77973175048828,141.30203247070312,9.910870552062988,75.16102600097656,77.33488464355469,19.8700008392334
2020-04-17,,33.68000030517578,263.4914245605469,158.57000732421875,104.50508117675781,139.40794372558594,9.954378128051758,75.13500213623047,77.35173797607422,18.270000457763672
2020-04-20,,30.0,258.8492126464844,159.6999969482422,104.77973175048828,140.52947998046875,9.78905200958252,75.13500213623047,77.34330749511719,-37.630001068115234
2020-04-21,,22.479999542236328,250.98971557617188,158.61000061035156,105.07159423828125,142.29896545410156,9.327879905700684,75.15230560302734,77.34330749511719,10.010000228881836
2020-04-22,,20.079999923706055,256.56024169921875,161.72999572753906,104.74542999267578,140.8450927734375,9.458399772644043,75.1263427734375,77.34330749511719,13.779999732971191
2020-04-23,,21.1200008392334,256.5419006347656,163.33999633789062,104.8140640258789,141.59288024902344,9.432295799255371,75.11763763427734,77.35173797607422,16.5
2020-04-24,,20.559999465942383,260.1177978515625,162.63999938964844,104.83984375,141.92515563964844,9.310477256774902,75.11763763427734,77.34330749511719,16.940000534057617
2020-04-27,,17.520000457763672,263.86822509765625,161.55999755859375,104.28189849853516,139.2832489013672,9.136448860168457,75.11763763427734,77.34330749511719,12.779999732971191
2020-04-28,,17.040000915527344,262.6548156738281,160.83999633789062,104.73684692382812,140.88673400878906,9.145150184631348,75.1436538696289,77.34330749511719,12.34000015258789
2020-04-29,,18.0,269.53076171875,161.72999572753906,104.68529510498047,140.1556396484375,9.310477256774902,75.13500213623047,77.33488464355469,15.0600004196167
2020-04-30,,19.1200008392334,267.0212707519531,158.8000030517578,104.4364242553711,138.51898193359375,9.484503746032715,75.26502990722656,77.35173797607422,18.84000015258789
2020-05-01,,18.860000610351562,259.9522705078125,159.77999877929688,104.58076477050781,139.7052001953125,9.36268424987793,75.15399169921875,77.33820343017578,19.780000686645508
2020-05-04,,19.670000076293945,260.6693420410156,160.33999633789062,104.59794616699219,139.04808044433594,9.475802421569824,75.15399169921875,77.33820343017578,20.389999389648438
2020-05-05,,21.510000228881836,263.0776672363281,161.02000427246094,104.52059936523438,138.15805053710938,9.719440460205078,75.1452865600586,77.33820343017578,24.559999465942383
2020-05-06,,20.850000381469727,261.2943420410156,158.9499969482422,104.13395690917969,135.92864990234375,9.528010368347168,75.17131042480469,77.3466796875,23.989999771118164
2020-05-07,,20.469999313354492,264.4474792480469,161.38999938964844,104.76978302001953,138.1996307373047,9.588920593261719,75.22340393066406,77.33820343017578,23.549999237060547
2020-05-08,,21.469999313354492,268.82293701171875,160.4199981689453,104.42609405517578,136.40284729003906,9.78905200958252,75.20603942871094,77.33820343017578,24.739999771118164
2020-05-11,,21.170000076293945,268.8781433105469,159.4199981689453,104.13395690917969,135.3381805419922,9.65853214263916,75.18000030517578,77.3466796875,24.139999389648438
2020-05-12,,20.969999313354492,263.5188903808594,160.0399932861328,104.4776840209961,136.72726440429688,9.580219268798828,75.19735717773438,77.3466796875,25.780000686645508
2020-05-13,,20.600000381469727,258.8583984375,161.5800018310547,104.69247436523438,137.68385314941406,9.484503746032715,75.19735717773438,77.3466796875,25.290000915527344
2020-05-14,,21.450000762939453,261.9562683105469,163.00999450683594,104.85574340820312,139.0314178466797,9.649829864501953,75.18000030517578,77.35514068603516,27.559999465942383
2020-05-15,,22.389999389648438,263.1604919433594,163.92999267578125,104.78697204589844,138.67373657226562,9.74554443359375,75.22340393066406,77.33820343017578,29.43000030517578
