strategy,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_stress_cash_weight,steep_stress_ief_weight
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.1,0.9
VC_ANCHOR_ALLOC_STEEP_CASH10_IEF90,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.1,0.9
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,2008_GFC,0.37846983199468665,-0.052756050727435055,1.7815571726844952,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.6680272108843538,0.1414965986394558,357.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,2011_EURO_DEBT,-0.05427172628332955,-0.1836678929623884,-0.318203637047679,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,2015_2016,0.04328407578916438,-0.11374914820553628,0.379245976805254,0.5586137576683438,0.28541260418826336,0.1559736381433927,0.0,0.0,0.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH20_IEF80,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49.0,0.2,0.8
VC_ANCHOR_ALLOC_STEEP_CASH30_IEF70,2008_GFC,0.36608549752905795,-0.05275605072743528,1.8087373721644016,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.5972789115646258,0.21224489795918366,357.0,0.3,0.7
